from,to,value
10.13039/100000001,10.13039/501100013290,2
10.13039/100000001,10.13039/501100000038,2
10.13039/100000001,10.13039/501100001691,2
10.13039/100000001,10.13039/100000070,2
10.13039/100000001,10.13039/100006098,2
10.13039/100000001,10.13039/100002418,2
10.13039/100000001,10.13039/100010663,2
10.13039/100000001,10.13039/501100012429,2
10.13039/100000001,10.13039/100006785,2
10.13039/100000001,10.13039/100010661,2
10.13039/100000001,10.13039/100000025,2
10.13039/100000006,10.13039/501100008982,2
10.13039/100000015,10.13039/501100001809,2
10.13039/100000015,10.13039/100000104,2
10.13039/100000015,10.13039/100010663,2
10.13039/501100003725,10.13039/501100012166,2
10.13039/501100003725,10.13039/501100012429,2
10.13039/501100012166,10.13039/501100018537,2
10.13039/501100012166,10.13039/501100012659,2
10.13039/501100003621,10.13039/501100014188,2
10.13039/501100004731,10.13039/501100012166,2
10.13039/100000002,10.13039/100000015,2
10.13039/100000002,10.13039/501100004543,2
10.13039/100000002,10.13039/100000092,2
10.13039/100000002,10.13039/100000181,2
10.13039/100000002,10.13039/501100002347,2
10.13039/100000002,10.13039/100000185,2
10.13039/100000002,10.13039/100000065,2
10.13039/100000002,10.13039/100010663,2
10.13039/100000002,10.13039/100000005,2
10.13039/100000002,10.13039/100000025,2
10.13039/501100002855,10.13039/501100012226,2
10.13039/501100002855,10.13039/501100012166,2
10.13039/501100000781,10.13039/501100001809,2
10.13039/501100002551,10.13039/501100003565,2
10.13039/501100002551,10.13039/501100003621,2
10.13039/100007065,10.13039/100008536,2
10.13039/100007065,10.13039/501100003593,2
10.13039/100007065,10.13039/501100000266,2
10.13039/100007065,10.13039/501100000275,2
10.13039/501100000780,10.13039/501100001871,2
10.13039/501100000780,10.13039/501100004895,2
10.13039/501100000780,10.13039/501100007601,2
10.13039/501100003399,10.13039/501100012226,2
10.13039/501100004543,10.13039/501100013290,2
10.13039/501100004543,10.13039/501100013314,2
10.13039/501100004543,10.13039/501100018537,2
10.13039/501100000024,10.13039/501100000196,2
10.13039/501100000024,10.13039/501100001804,2
10.13039/501100000266,10.13039/501100000780,2
10.13039/501100000266,10.13039/501100000274,2
10.13039/501100000287,10.13039/501100001809,2
10.13039/501100000287,10.13039/501100000288,2
10.13039/501100000287,10.13039/501100000781,2
10.13039/501100000288,10.13039/501100000781,2
10.13039/501100004147,10.13039/501100012166,2
10.13039/501100002858,10.13039/501100004731,2
10.13039/501100002858,10.13039/501100005046,2
10.13039/501100002858,10.13039/501100004543,2
10.13039/501100002858,10.13039/501100013314,2
10.13039/100000053,10.13039/100001818,2
10.13039/100000053,10.13039/100000092,2
10.13039/501100004608,10.13039/501100012246,2
10.13039/100006190,10.13039/501100004731,2
10.13039/501100001659,10.13039/501100002347,2
10.13039/100010661,10.13039/501100000781,2
10.13039/100010661,10.13039/100010663,2
10.13039/501100002341,10.13039/501100018537,2
10.13039/501100002341,10.13039/501100008530,2
10.13039/501100004739,10.13039/501100005089,2
10.13039/501100005089,10.13039/501100012226,2
10.13039/501100002766,10.13039/501100012166,2
10.13039/501100002766,10.13039/501100004543,2
10.13039/100006098,10.13039/100007065,2
10.13039/501100001807,10.13039/501100003593,2
10.13039/100014103,10.13039/501100007129,2
10.13039/100009950,10.13039/100009950,2
10.13039/100009950,10.13039/501100000780,2
10.13039/100009619,10.13039/501100001691,2
10.13039/100009619,10.13039/501100000646,2
10.13039/100010002,10.13039/501100004663,2
10.13039/100010002,10.13039/100010002,2
10.13039/501100002701,10.13039/501100010418,2
10.13039/501100002701,10.13039/501100002701,2
10.13039/501100003392,10.13039/501100004663,2
10.13039/501100004829,10.13039/501100012226,2
10.13039/501100004829,10.13039/501100012166,2
10.13039/501100004735,10.13039/501100013314,2
10.13039/501100009592,10.13039/501100012226,2
10.13039/100000145,10.13039/501100001809,2
10.13039/100000028,10.13039/100002418,2
10.13039/100000185,10.13039/501100008982,2
10.13039/100000050,10.13039/100000070,2
10.13039/501100001381,10.13039/501100007162,2
10.13039/501100001381,10.13039/501100001475,2
10.13039/501100001381,10.13039/501100012659,2
10.13039/501100004835,10.13039/501100012166,2
10.13039/501100004835,10.13039/501100013290,2
10.13039/100000054,10.13039/100000070,2
10.13039/100000054,10.13039/100006098,2
10.13039/100000104,10.13039/100010663,2
10.13039/100010663,10.13039/501100003329,2
10.13039/100010663,10.13039/501100001659,2
10.13039/100010663,10.13039/501100003407,2
10.13039/501100010031,10.13039/501100012166,2
10.13039/501100010877,10.13039/501100012226,2
10.13039/501100002338,10.13039/501100012226,2
10.13039/501100002338,10.13039/501100002855,2
10.13039/501100002338,10.13039/501100002858,2
10.13039/501100002338,10.13039/501100018537,2
10.13039/501100012226,10.13039/501100013314,2
10.13039/501100012226,10.13039/501100012245,2
10.13039/501100001321,10.13039/501100001809,2
10.13039/501100001321,10.13039/501100002701,2
10.13039/100000181,10.13039/501100001809,2
10.13039/100000181,10.13039/501100008982,2
10.13039/100000199,10.13039/501100004543,2
10.13039/501100001352,10.13039/501100001459,2
10.13039/501100012165,10.13039/501100012166,2
10.13039/100004440,10.13039/501100000287,2
10.13039/100004440,10.13039/501100000274,2
10.13039/100005825,10.13039/501100001809,2
10.13039/100005825,10.13039/501100004543,2
10.13039/501100000275,10.13039/501100001809,2
10.13039/501100012429,10.13039/501100013314,2
10.13039/501100005230,10.13039/501100007957,2
10.13039/501100012245,10.13039/501100018537,2
10.13039/501100002822,10.13039/501100004735,2
10.13039/501100002822,10.13039/501100013290,2
10.13039/100000025,10.13039/501100008982,2
10.13039/501100001459,10.13039/501100001475,2
10.13039/501100007162,10.13039/501100012659,2
10.13039/501100014188,10.13039/501100014188,2
10.13039/501100000923,10.13039/501100012226,1
10.13039/501100000923,10.13039/501100003453,1
10.13039/501100000923,10.13039/501100004543,1
10.13039/501100000923,10.13039/501100002920,1
10.13039/501100001809,10.13039/501100001871,1
10.13039/501100001809,10.13039/501100003593,1
10.13039/501100001809,10.13039/501100002322,1
10.13039/501100001809,10.13039/501100002920,1
10.13039/501100001809,10.13039/501100003329,1
10.13039/501100001809,10.13039/501100004359,1
10.13039/501100001809,10.13039/501100012659,1
10.13039/100000001,10.13039/100000054,1
10.13039/100000001,10.13039/501100004731,1
10.13039/100000001,10.13039/100001818,1
10.13039/100000001,10.13039/501100003399,1
10.13039/100000001,10.13039/501100013314,1
10.13039/100000001,10.13039/501100003621,1
10.13039/100000001,10.13039/501100004663,1
10.13039/100000001,10.13039/501100008530,1
10.13039/100000001,10.13039/501100005089,1
10.13039/100000001,10.13039/501100002766,1
10.13039/100000001,10.13039/100007065,1
10.13039/100000001,10.13039/501100003593,1
10.13039/100000001,10.13039/501100000268,1
10.13039/100000001,10.13039/501100000196,1
10.13039/100000001,10.13039/501100002701,1
10.13039/100000001,10.13039/501100002920,1
10.13039/100000001,10.13039/100000145,1
10.13039/100000001,10.13039/100000968,1
10.13039/100000001,10.13039/501100004835,1
10.13039/100000001,10.13039/501100000266,1
10.13039/100000001,10.13039/501100000024,1
10.13039/100000001,10.13039/501100001321,1
10.13039/100000001,10.13039/501100003329,1
10.13039/100000001,10.13039/501100000275,1
10.13039/100000001,10.13039/501100001659,1
10.13039/100000001,10.13039/501100001711,1
10.13039/100000001,10.13039/501100007107,1
10.13039/100000001,10.13039/100014717,1
10.13039/100000001,10.13039/501100001804,1
10.13039/100000001,10.13039/100000060,1
10.13039/100000001,10.13039/100000144,1
10.13039/100000001,10.13039/100000055,1
10.13039/100000001,10.13039/501100012659,1
10.13039/100000001,10.13039/100006190,1
10.13039/100000006,10.13039/501100001809,1
10.13039/100000006,10.13039/100000145,1
10.13039/100007219,10.13039/501100012226,1
10.13039/100007219,10.13039/501100012166,1
10.13039/100007219,10.13039/501100013290,1
10.13039/100007219,10.13039/501100003392,1
10.13039/100007219,10.13039/501100010031,1
10.13039/100007219,10.13039/501100000266,1
10.13039/100000015,10.13039/100000183,1
10.13039/100000015,10.13039/100000054,1
10.13039/100000015,10.13039/501100002855,1
10.13039/100000015,10.13039/100000015,1
10.13039/100000015,10.13039/100000028,1
10.13039/100000015,10.13039/501100008982,1
10.13039/100000015,10.13039/501100008530,1
10.13039/100000015,10.13039/501100003593,1
10.13039/100000015,10.13039/501100001475,1
10.13039/100000015,10.13039/100000185,1
10.13039/100000015,10.13039/501100003329,1
10.13039/100000015,10.13039/501100001659,1
10.13039/100000015,10.13039/100006785,1
10.13039/100000015,10.13039/100010661,1
10.13039/501100003052,10.13039/501100010418,1
10.13039/501100003661,10.13039/501100010418,1
10.13039/501100003725,10.13039/501100008982,1
10.13039/501100007128,10.13039/501100012226,1
10.13039/501100007128,10.13039/501100013290,1
10.13039/501100007128,10.13039/501100010031,1
10.13039/501100012166,10.13039/501100013290,1
10.13039/501100012166,10.13039/501100012246,1
10.13039/501100004731,10.13039/501100005230,1
10.13039/501100004731,10.13039/501100004835,1
10.13039/100000002,10.13039/100000183,1
10.13039/100000002,10.13039/501100012166,1
10.13039/100000002,10.13039/501100013290,1
10.13039/100000002,10.13039/501100000038,1
10.13039/100000002,10.13039/501100000781,1
10.13039/100000002,10.13039/501100001691,1
10.13039/100000002,10.13039/501100008982,1
10.13039/100000002,10.13039/501100002341,1
10.13039/100000002,10.13039/501100008530,1
10.13039/100000002,10.13039/501100002322,1
10.13039/100000002,10.13039/501100000196,1
10.13039/100000002,10.13039/100000145,1
10.13039/100000002,10.13039/501100000266,1
10.13039/100000002,10.13039/501100000274,1
10.13039/100000002,10.13039/501100000923,1
10.13039/100000002,10.13039/501100007601,1
10.13039/100000002,10.13039/501100001665,1
10.13039/100000002,10.13039/501100004359,1
10.13039/100000002,10.13039/501100001711,1
10.13039/100000002,10.13039/100010661,1
10.13039/100000002,10.13039/501100001349,1
10.13039/100000002,10.13039/100000069,1
10.13039/100000002,10.13039/100004320,1
10.13039/100000002,10.13039/501100001804,1
10.13039/100000002,10.13039/100000009,1
10.13039/100000002,10.13039/501100003130,1
10.13039/501100002855,10.13039/501100007128,1
10.13039/501100002855,10.13039/501100003453,1
10.13039/501100002855,10.13039/501100002858,1
10.13039/501100002855,10.13039/501100003399,1
10.13039/501100002855,10.13039/501100013290,1
10.13039/501100002855,10.13039/501100004543,1
10.13039/501100002855,10.13039/501100007162,1
10.13039/501100002855,10.13039/501100012245,1
10.13039/501100004826,10.13039/501100008982,1
10.13039/501100000781,10.13039/501100012166,1
10.13039/501100000781,10.13039/501100000781,1
10.13039/501100000781,10.13039/501100003359,1
10.13039/501100000781,10.13039/501100008982,1
10.13039/501100000781,10.13039/501100004739,1
10.13039/501100000781,10.13039/501100002428,1
10.13039/501100000781,10.13039/501100002347,1
10.13039/501100000781,10.13039/501100003329,1
10.13039/501100000781,10.13039/501100001659,1
10.13039/501100000781,10.13039/501100003246,1
10.13039/501100000781,10.13039/501100007601,1
10.13039/501100000038,10.13039/501100003725,1
10.13039/501100000038,10.13039/501100002551,1
10.13039/501100000038,10.13039/501100003565,1
10.13039/501100000038,10.13039/501100000038,1
10.13039/501100000038,10.13039/501100000781,1
10.13039/501100000038,10.13039/501100004543,1
10.13039/501100000038,10.13039/501100002341,1
10.13039/501100000038,10.13039/501100003593,1
10.13039/501100000038,10.13039/501100000268,1
10.13039/501100000038,10.13039/501100002701,1
10.13039/501100000038,10.13039/501100000780,1
10.13039/501100000038,10.13039/501100001459,1
10.13039/501100002551,10.13039/501100004332,1
10.13039/501100002551,10.13039/501100003710,1
10.13039/100007065,10.13039/501100001809,1
10.13039/100007065,10.13039/501100001871,1
10.13039/100007065,10.13039/501100000038,1
10.13039/100007065,10.13039/501100000288,1
10.13039/100007065,10.13039/501100003359,1
10.13039/100007065,10.13039/501100008982,1
10.13039/100007065,10.13039/501100002322,1
10.13039/100007065,10.13039/501100000780,1
10.13039/100007065,10.13039/501100000274,1
10.13039/100007065,10.13039/501100002790,1
10.13039/501100000780,10.13039/501100001809,1
10.13039/501100000780,10.13039/501100003621,1
10.13039/501100000780,10.13039/501100008530,1
10.13039/501100000780,10.13039/501100000780,1
10.13039/501100000780,10.13039/501100000925,1
10.13039/501100000780,10.13039/501100001321,1
10.13039/501100000780,10.13039/501100002790,1
10.13039/501100000780,10.13039/501100001807,1
10.13039/100014717,10.13039/501100001809,1
10.13039/100014717,10.13039/501100012166,1
10.13039/100014717,10.13039/501100003453,1
10.13039/100014717,10.13039/501100003399,1
10.13039/100014717,10.13039/501100013290,1
